n_customers,fleet_label,objective,best_cost,runtime_sec,vehicles_used,distance_only
20,Homo_C30,min_distance,1160.8482389068645,0.9270374774932861,7,1160.8482389068645
20,Homo_C30,min_vehicles_then_distance,7001173.999972088,0.9195184707641602,7,1173.9999720881858
20,Hetero_50-40-40-20,min_distance,34000866.220723756,1.1389899253845215,4,866.2207237581898
20,Hetero_50-40-40-20,min_vehicles_then_distance,38000866.220723756,1.161186695098877,4,866.2207237581898
50,Homo_C30,min_distance,2299.8792037054463,3.115811586380005,16,2299.8792037054463
50,Homo_C30,min_vehicles_then_distance,16002399.885839736,3.0465304851531982,16,2399.8858397355884
50,Hetero_50-40-40-20,min_distance,301001811.1341474,3.419649839401245,4,1811.1341474082697
50,Hetero_50-40-40-20,min_vehicles_then_distance,305001811.1341474,3.427030324935913,4,1811.1341474082697
100,Homo_C30,min_distance,4182.058455141253,10.6140718460083,33,4182.058455141253
100,Homo_C30,min_vehicles_then_distance,32004406.581252553,12.419671773910522,32,4406.581252550799
100,Hetero_50-40-40-20,min_distance,767001558.0288444,12.262967348098755,4,1558.0288443330753
100,Hetero_50-40-40-20,min_vehicles_then_distance,771001558.0288444,11.109926700592041,4,1558.0288443330753
150,Homo_C30,min_distance,7129.644801350345,21.92540955543518,49,7129.644801350345
150,Homo_C30,min_vehicles_then_distance,48007230.176647425,21.809351205825806,48,7230.176647422582
150,Hetero_50-40-40-20,min_distance,1204002209.3784,22.3141028881073,4,2209.3784001311315
150,Hetero_50-40-40-20,min_vehicles_then_distance,1208002209.3784,23.971426248550415,4,2209.3784001311315
